serum,virus,replicate,concentration,fraction infectivity
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,1,50,0.315312765
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,1,16.66666667,0.600256886
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,1,5.555555556,0.656299956
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,1,1.851851852,0.636259023
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,1,0.617283951,0.751563722
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,1,0.205761317,0.91013802
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,1,0.068587106,0.933846436
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,1,0.022862369,0.972734492
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,2,50,0.304840079
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,2,16.66666667,0.635364635
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,2,5.555555556,0.773434094
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,2,1.851851852,0.639397427
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,2,0.617283951,0.777951525
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,2,0.205761317,0.845794857
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,2,0.068587106,0.983324171
tufted_duck_MHCII-NA_pseudovirus,H5_trimer,2,0.022862369,1.023559516
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,1,50,8.21E-05
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,1,16.66666667,0.143473451
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,1,5.555555556,0.561693716
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,1,1.851851852,0.775876461
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,1,0.617283951,0.721033819
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,1,0.205761317,1.052764232
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,1,0.068587106,0.978417993
