serum,virus,replicate,concentration,fraction infectivity
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,1,0.022862369,0.996553422
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,2,50,1.75E-05
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,2,16.66666667,0.213274336
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,2,5.555555556,0.523616313
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,2,1.851851852,0.804361436
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,2,0.617283951,0.911740445
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,2,0.205761317,1.063065038
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,2,0.068587106,0.980237554
tufted_duck_MHCII-NA_pseudovirus,H5_nanoparticle,2,0.022862369,1.052683407
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,1,50,0.066119445
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,1,16.66666667,0.106550592
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,1,5.555555556,0.184130214
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,1,1.851851852,0.178700701
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,1,0.617283951,0.234949179
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,1,0.205761317,0.411081323
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,1,0.068587106,0.561480667
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,1,0.022862369,0.711373864
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,2,50,0.071667138
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,2,16.66666667,0.100870558
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,2,5.555555556,0.175003633
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,2,1.851851852,0.176085365
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,2,0.617283951,0.275019547
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,2,0.205761317,0.314367987
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,2,0.068587106,0.507604911
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_trimer,2,0.022862369,0.648372011
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,1,50,0.00441268
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,1,16.66666667,0.006978736
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,1,5.555555556,0.006374074
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,1,1.851851852,0.013524427
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,1,0.617283951,0.025117279
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,1,0.205761317,0.071115083
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,1,0.068587106,0.198643944
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,1,0.022862369,0.443836583
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,2,50,0.004135296
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,2,16.66666667,0.006496361
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,2,5.555555556,0.009600349
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,2,1.851851852,0.011417512
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,2,0.617283951,0.029867084
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,2,0.205761317,0.071035647
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,2,0.068587106,0.226681327
tufted_duck_MHCII-NA_pseudovirus,H5_4mut_nanoparticle,2,0.022862369,0.472955087
